Code,Description,FirearmType
2080,.375-06 JDJ,00
3196,.375/454 JDJ WOODSWALKER,00
3514,.375XC,00
1978,.376 STEYR,00
44,.378 WBY MAG,00
2233,.38 (BLANK),00
3149,.38 AUTOMATIC (.38 ACP),00
1916,.38 EXTRA LONG,00
3427,.38 LARGO,00
3236,.38 LONG COLT,00
"3226,"".38 LONG, CENTERFIRE"",00"
2149,.38 PINFIRE,00
3455,.38 RIMFIRE,00
3616,.38 RIMFIRE,00
407,.38 S&W,00
2148,.38 S&W,00
3022,.38 S&W,00
2103,.38 S&W (BLANK),00
3431,.38 SHORT,00
3430,.38 SHORT COLT,00
589,.38 SPECIAL,00
295,.38 SPECIAL,00
495,.38 SPECIAL,00
2260,.38 SPL (BLANK),00
100,.38 SPL/.357 MAG,00
499,.38 SPL/.357 MAG,00
591,.38 SUPER,00
3263,.38 SUPER COMP,00
1726,.38-40 WIN,00
388,.38-55WIN / 12GA,00
3706,.38-56 WIN (WCF),00
2352,.38-72 WIN,00
1669,.38/55 WIN,00
3191,.380,00
2358,.380 ACP,00
1671,.380 ACP,00
1879,.380 SHORT/LONG,00
2166,.38SPL (BLANK),00
902,.38SPL/9MM PAR/.357 MAG,00
438,.40 S&W,00
3466,.40 S&W,00
2355,.40 S&W,00
1752,.40 S&W,00
1695,.40-110 WIN EXP,00
1757,.40-44 WOODSWALKER,00
3399,.40-60 WIN,00
3221,.40-65 WIN,00
3630,.40-70 WCF,00
2030,.40-82 WIN,00
1820,.400 BLACK POWDER,00
1837,.400 COR-BON,00
2123,.400 H & H MAG,00
1731,.400 JEFF EXP / 16GA,00
273,.400 JEFFERY EXPRESS,00
3683,.400 PURDEY(3-INCH) LIGHT EXP,00
2295,.400 TEMBO,00
2439,.400/.360 NIT EXP,00
309,.400/.375 COMBINATION,00
3644,.400/.375 H&H NE,00
3294,.400/350 NIT EXP / 20GA,00
2306,.400/350 NITRO EXPRESS,00
3030,.400/350 RIGBY,00
2769,.401 HERTER POWERMAG,00
1777,.401 MAG,00
2770,.401 WIN SELFLOADING,00
2773,.401 WIN SELFLOADING,00
3655,.402 ENFIELD-MARTINI,00
2771,.404 B.J EXPRESS,00
3435,.404 DAKOTA,00
2125,.404 JEFFERY,00
3694,.404 JEFFERY (BLANK),00
662,.404 JEFFERY / 12GA,00
619,.404 JEFFERY / 16GA,00
2772,.404 JEFFERY RIMLESS,00
97,.405 WIN,00
638,.405 WIN / 12GA,00
2429,.408 CHEY TAC,00
2726,.41 ACTION EXPRESS,00
2755,.41 ACTION EXPRESS,00
2756,.41 LONG,00
2727,.41 LONG,00
2749,.41 LONG COLT,00
2757,.41 LONG COLT,00
2728,.41 LONG COLT,00
1708,.41 MAG,00
2411,.41 REM MAG,00
2729,.41 REM MAG,00
2412,.41 REM MAG,00
3182,.41 RIMFIRE (RF),00
2730,.41 SHORT (DERRINGER),00
2758,.41 SHORT COLT,00
2750,.41 SHORT COLT,00
2731,.41 SHORT COLT,00
2732,.41 SPECIAL,00
2759,.41 SPECIAL,00
2733,.41 SWISS,00
2760,.41 SWISS,00
3516,.41 XC,00
820,.410 AIR POWERED,00
526,.410 BORE,00
201,.410 BORE,00
3673,.410 BORE,00
2285,.410 BORE (BLANK),00
2078,.410 GNR,00
750,.410BR / 10GA,00
360,.410BR / 12GA,00
352,.410BR / 16GA,00
689,.410BR / 20GA,00
667,.410BR / 24GA,00
641,.410BR / 8GA,00
2765,.411 EXPRESS,00
2766,.411 HAWK,00
2734,.411 JDJ,00
2764,.411 JDJ,00
3159,.411 KDF,00
2752,.416 BARNES,00
2735,.416 BARNES,00
3023,.416 BARRETT,00
3538,.416 BARRETT,00
2736,.416 DAKOTA,00
2753,.416 DAKOTA,00
3409,.416 FLANGED MAG,00
3532,.416 HELLFIRE,00
2737,.416 HOFFMAN,00
2754,.416 HOFFMAN,00
1591,.416 REM MAG,00
2738,.416 REM MAG,00
1924,.416 RIGBY,00
1817,.416 RIGBY,00
2318,.416 RUGER,00
3713,.416 STROKER,00
1984,.416 TAYLOR,00
2739,.416 WBY MAG,00
1776,.416 WEATHERBY MAG,00
3681,.423 LUCAS,00
2774,.425 EXPRESS,00
2776,.425 LEE MAG,00
2775,.425 WEST RICHARDS MAG,00
3213,.43 EGYPTIAN,00
3698,.430 GNR,00
2777,.430 JDJ,00
2778,.430 SJS,00
2106,.44 (BLANK),00
2316,.44 AUTO MAG,00
3250,.44 BULL DOG,00
3307,.44 COLT,00
2714,.44 COLT,00
1575,.44 EXTRA LONG RIM-FIRE,00
3308,.44 HENRY FLAT,00
3657,.44 M & H (MERWIN & HULBERT),00
3211,.44 MAG,00
279,.44 MAG,00
905,.44 MAG (.44 REM MAG),00
2262,.44 MAG (BLANK),00
2108,.44 MAG (BLANK),00
3406,.44 MAG / .410BR,00
1543,.44 MAGNUM,00
3217,.44 RIM-FIRE,00
3382,.44 S&W MAG,00
2717,.44 S&W RUSSIAN,00
2391,.44 S&W RUSSIAN,00
2715,.44 S&W SPL,00
1510,.44 S&W SPL,00
3317,.44 WCF,00
3184,.44 WEBLEY,00
2716,.44 WEBLEY,00
3672,.44 WEBLEY/442 RIC,00
2261,.44-40 (BLANK),00
2740,.44-40 EXTRA LONG,00
3585,.44-40 EXTRA LONG/.410 BORE,00
2741,.44-40 MARLIN,00
2742,.44-40 WIN(.44 WCF),00
274,.44-40 WIN(.44 WCF),00
1866,.44-75 BALLARD EVERLAS,00
2484,.440 AFRICAN,00
317,.440 AFRICAN / 16GA,00
3128,.440 MCFARLANE EXP,00
439,.442,00
3209,.442 WEBLEY,00
3562,.444 MARLIN,00
52,.444 MARLIN,00
1562,.444 MARLIN,00
179,.445 SUPER MAG,00
3471,.445 SUPER MAG,00
471,.445 SUPER MAG,00
2457,.45 (BLANK),00
2428,.45 (BLANK),00
2104,.45 (BLANK),00
2228,.45 ACP,00
1769,.45 ACP,00
511,.45 ACP,00
1850,.45 ACP,00
2284,.45 ACP (BLANK),00
3424,.45 ACP/.45 COLT / .410,00
2185,.45 ACP/.45 LONG COLT,00
2001,.45 BLASER,00
550,.45 COLT/.410 BORE,00
2505,.45 COLT/LONG COLT,00
2418,.45 COLT/LONG COLT,00
2573,.45 COLT/LONG COLT/.410,00
2506,.45 COLT/LONG COLT/.410,00
2037,.45 GAP,00
3305,.45 LC/.454 CASULL/.410BR,00
3233,.45 S&W,00
3100,.45 WEBLEY,00
1944,.45 WIN MAG,00
3111,.45- 70/90/120,00
