Code,Description
2209,ETHAN ALLEN
3622,EUOPLIA
3213,EUREKA
326,EUROARMS
1368,EUSTA
1380,EVANS
2264,EXCALIBUR
40,EXCAM
645,EXCEL ARMS
2861,EXCELSIOR
3580,F BAXTER
4087,F BURTON
2045,F DYKE & CO (FRANK)
2153,F SARRIUGARTE
3244,F WILLIAMS (FREDERICK)
1555,F. LANCELOT & CO
3848,F.BIGNOTTI & F-GARDONE V.T
2704,F.F.P. OBENDOV
4417,F.FLETCHER & SON
2933,F.I. INDUSTRIES
206,F.LLI PIETTA
3833,F.M.A.P
4359,F.P BAKER & CO
2201,F.PEDRETTI
2366,F.PURNELL
1101,FABARM
2989,FABBRI
832,FABRICA DE ARMAS
2228,FABRICA DE ITAJUBA
2051,FABRIQUE MILITERE
2265,FAIR
3272,FALCO
3235,FALCON
3063,FALCONETTI
1427,FALKE
4545,FAMAE
3940,FAMARS
1084,FAMAS
3649,FARLEY MFG
1922,FARMERS GUN
1583,FARQUHARSON
962,FAS
2115,FAST DEER
1423,FAURE LE PAGE
1768,FAUSTI (STEFANO)
4377,FAXON FIREARMS
2422,FBP
532,FC BECKLEY BOSHOFF
11,FEATHER IND
474,FEDERAL ORDNANCE
584,FEG
3297,FEGYVER
1411,FEINWERKBAU
3082,FELI
3367,FELIZ SARASQUETA
1838,FEMARU
494,FERLACH
994,FERLIB
80,FIALA
1474,FIAS
2262,FIELD RIFLE CO
142,FIELDMAN
4148,FIERCE
3418,FIESS
1401,FINAT
2428,FINITO
697,FIOCCHI OF AMERICA
4447,FIRE ARMS URBIOLA
4352,FIREARMS CO.
597,FIREARMS INT CORP
1462,FIREBIRD
4458,FIRMA SUHLER WA-EXP HAUS
2256,FISHER
4457,FIVE STAR
4229,FK BRNO
4392,FLETCHERS GUNMAKERS
255,FLOBERT
3014,FM HI-POWER
4085,FMK
4298,FMP
874,FN (FABRIQ NATIONAL)
3356,FN SAUER
4471,FOLDAR
2664,FORD BROTHERS
384,FOREHAND ARMS
481,FOREMOST
3478,FOREST
1913,FORREST & SON
4013,FORT
4520,FORTUNA
4162,FOSTECH MFG
